Name,Order,Size,Region,AppType,Value,ChasisType,BrandName,RegionCode,SKUOptionConfig,ChannelID,FeatureBytes,UID
HP e-Service,1,2x2,ALL,DtAppID,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\StarSoftComm\CooCare5\eService\BIN\CooCare.exe,,,,,,,
e-QR Code,2,2x2,ALL,AppID,AD2F1837.E-QRcode_v10z8vjag6ke6!App,,,,,,,
QuickDrop,3,2x2,ALL,AppID,AD2F1837.HPQuickDrop_v10z8vjag6ke6!App,,,,,,,
Agoda.com,4,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Agoda.lnk,,,,,,,
TianYiCloud,101,Taskbar,ALL,DtAppLinkPath,,,,,,,,6
WPS Office,102,Taskbar,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\WPS Office\WPS Office.lnk,,,,,,,
Baidu,1,EdgeFav,ALL,Link,https://www.baidu.com/?tn=67074732_8_dg,,,,,,,
Agoda.com,2,EdgeFav,ALL,Link,https://www.agoda.com/?cid=1649895&tag=NW22C1EF,,,,,,,
HP China Website,3,EdgeFav,ALL,Link,http://www.hp.com,,,,,,,
HP China Store,4,EdgeFav,ALL,Link,https://www.hpstore.cn/hponline,,,,,,,
