Name,Order,Size,Region,AppType,Value,ChasisType,BrandName,RegionCode,SKUOptionConfig,ChannelID,FeatureBytes,UID
OMEN Command Center,999,2x2,ALL,AppID,AD2F1837.OMENCommandCenter_v10z8vjag6ke6!AD2F1837.OMENCommandCenter,,Pavilion Gaming,,,,,
OMEN Command Center,1,2x2,ALL,AppID,AD2F1837.OMENCommandCenter_v10z8vjag6ke6!AD2F1837.OMENCommandCenter,,,,,,,
myHP,1,2x2,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,Pavilion Gaming,,,,,
HP Palette,2,2x2,ALL,AppID,AD2F1837.HPPalette_v10z8vjag6ke6!App,,Pavilion,,,,,
HP e-Service,3,2x2,ALL,DtAppID,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\StarSoftComm\CooCare5\eService\BIN\CooCare.exe,,,,,,,
e-QR Code,999,2x2,ALL,AppID,AD2F1837.E-QRcode_v10z8vjag6ke6!App,,,,,,TS_EDU,
e-QR Code,4,2x2,ALL,AppID,AD2F1837.E-QRcode_v10z8vjag6ke6!App,,,,,,,
Tencent Education Platform,4,2x2,ALL,DtAppLinkPath,,,,,,,TS_EDU,5
WPS Office,5,2x2,ALL,DtAppID,Kingsoft.Office.KPrometheus,,,,,,,
McAfee,6,2x2,ALL,AppID,5A894077.McAfeeSecurity_wafk5atnkzcwy!App,,,,,,S_Mode,
McAfee,6,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\McAfee\McAfee LiveSafe.lnk,,,,,,,
QuickDrop,999,2x2,ALL,AppID,AD2F1837.HPQuickDrop_v10z8vjag6ke6!App,,OPP,,,,TS_EDU,
QuickDrop,7,2x2,ALL,AppID,AD2F1837.HPQuickDrop_v10z8vjag6ke6!App,,OPP,,,,,
Xiaowei,7,2x2,ALL,AppID,AD2F1837.19285F10D180_v10z8vjag6ke6!App,,,,,,TS_EDU,
TianYiCloud,8,2x2,ALL,DtAppLinkPath,,,,,,,,6
Simple Solitaire,9,2x2,ALL,AppID,26720RandomSaladGamesLLC.SimpleSolitaire_kx24dqmazqk8j!App,,,,,,,
myHP,999,Taskbar,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,Pavilion Gaming,,,,,
myHP,101,Taskbar,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,,,,,,
OMEN Command Center,101,Taskbar,ALL,AppID,AD2F1837.OMENCommandCenter_v10z8vjag6ke6!AD2F1837.OMENCommandCenter,,Pavilion Gaming,,,,,
HPSA,102,Taskbar,ALL,AppID,AD2F1837.HPSupportAssistant_v10z8vjag6ke6!AD2F1837.HPSupportAssistant,,,,,,,
Xiaowei,999,Taskbar,ALL,AppID,AD2F1837.19285F10D180_v10z8vjag6ke6!App,,,,,,TS_EDU,
Xiaowei,103,Taskbar,ALL,AppID,AD2F1837.19285F10D180_v10z8vjag6ke6!App,,,,,,,
Tencent Education Platform,103,Taskbar,ALL,DtAppLinkPath,,,,,,,TS_EDU,5
Baidu,1,EdgeFav,ALL,Link,https://www.baidu.com/?tn=67074732_8_dg,,,,,,,
Agoda.com,2,EdgeFav,ALL,Link,https://www.agoda.com/?cid=1649895&tag=NW22C1EF,,,,,,,
HP China Website,3,EdgeFav,ALL,Link,http://www.hp.com,,,,,,,
HP China Store,4,EdgeFav,ALL,Link,https://www.hpstore.cn/hponline,,,,,,,
McAfee,5,EdgeFav,ALL,Link,http://www.mcafee.com/consumer/v/browserfav/hp.html,,,,,,,
