Name,Order,Size,Region,AppType,Value,ChasisType,BrandName,RegionCode,SKUOptionConfig,ChannelID,FeatureBytes,UID
MyOffice,1,2x2,ALL,DtAppLinkPath,,,,,,,,4
myHP,2,2x2,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,,,,,,
Adobe,3,2x2,ALL,DtAppLinkPath,,,,,,,,1
Dropbox,4,2x2,ALL,AppID,C27EB4BA.Dropbox_xbfy0k16fey96!App,,,,,,S_Mode,
Dropbox,4,2x2,ALL,AppID,C27EB4BA.DropboxOEM_xbfy0k16fey96!App,,,,,,,
OMEN Command Center,5,2x2,ALL,AppID,AD2F1837.OMENCommandCenter_v10z8vjag6ke6!AD2F1837.OMENCommandCenter,,,,,,,
HPCC,6,2x2,ALL,AppID,AD2F1837.HPThermalControl_v10z8vjag6ke6!App,,,,,,,
Duet,7,2x2,ALL,AppID,DuetInc.DuetDisplayforHP_8f7kazqzn4j6t!App,,,,,,S_Mode,
Duet,7,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Duet Display.lnk,,,,,,,
Ali Express,8,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\AliExpress.lnk,,,,AKD;BCM,,,
Concept,9,2x2,ALL,AppID,TopHatchInc.Concepts_phhqn29e7p872!App,,,,,,,
Express VPN,10,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\ExpressVPN.lnk,,,,,,,
LastPass Password Manager,11,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\LastPass.lnk,,,,,,,
HP Palette,101,Taskbar,ALL,AppID,AD2F1837.HPPalette_v10z8vjag6ke6!App,,,,,,,
HPSA,102,Taskbar,ALL,AppID,AD2F1837.HPSupportAssistant_v10z8vjag6ke6!AD2F1837.HPSupportAssistant,,,,,,,
McAfee,103,Taskbar,ALL,AppID,5A894077.McAfeeSecurity_wafk5atnkzcwy!App,,,,,,S_Mode,
McAfee,103,Taskbar,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\McAfee\McAfee LiveSafe.lnk,,,,,,,
myHP,999,Taskbar,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,,,ACB,,,
myHP,104,Taskbar,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,,,,,,
ExpressVPN,1,EdgeFav,ALL,Link,http://js.redirect.hp.com/jumpstation?bd=expressvpn&c=*&locale=en_us&pf=*&s=*&tp=edge,,,,,,,
McAfee,2,EdgeFav,ALL,Link,http://www.mcafee.com/consumer/v/browserfav/hp.html,,,,,,,
LastPass,3,EdgeFav,ALL,Link,http://js.redirect.hp.com/jumpstation?bd=lastpass&c=*&locale=*&pf=*&s=*&tp=edge,,,,,,,
AliExpress,4,EdgeFav,ALL,Link,https://s.click.aliexpress.com/e/_pwXZqTQ,,,,AKD;BCM,,,
